Y(fast speed),Hour,"Day of the week (1 = Monday, 7 = Sunday)",Temperature (Fahrenheit),Entering Point (8 Direction),Leaving Point(8 Direction),Whether alone,Age (Child/Young/Middle/Old),Is Female,Hair color(Black/Blonde/Hat),Have backpack,Have handbag,Is Formal,Level of Crowded (3 Levels),Level of standing (1-3),With pet or not,With phone or not
1,17,6,64,2,1,1,Young,0,Black,1,1,0,2,1,0,0
0,17,6,64,6,2,0,Young,0,Blonde,0,0,0,2,1,0,0
0,17,6,64,6,2,0,Young,1,Blonde,0,0,0,2,1,0,0
0,17,6,64,6,2,1,Young,0,Hat,1,0,0,2,1,0,0
1,17,6,64,4,1,1,Young,0,Black,1,0,0,2,1,0,0
0,17,6,64,3,4,1,Young,0,Blonde,0,1,0,2,1,0,0
0,17,6,64,6,3,0,Young,1,Blonde,0,0,0,2,1,0,0
0,17,6,64,6,3,0,Young,0,Blonde,0,1,0,2,1,0,0
0,17,6,64,7,1,1,Young,1,Black,1,0,0,2,1,0,0
1,17,6,64,4,1,1,Young,0,Blonde,1,0,0,2,1,0,0
0,17,6,64,4,6,0,Young,1,Black,1,0,0,2,1,0,0
0,17,6,64,4,6,0,Young,0,Black,1,0,0,2,1,0,0
0,17,6,64,7,1,0,Young,1,Blonde,0,0,0,2,1,0,0
0,17,6,64,7,1,0,Young,0,Blonde,0,0,0,2,1,0,0
0,18,6,64,6,1,0,Child,0,Blonde,0,0,0,2,1,0,0
0,18,6,64,6,1,0,Middle,0,Blonde,0,0,0,2,1,0,0
0,18,6,64,6,1,0,Middle,1,Blonde,0,0,0,2,1,0,0
0,18,6,64,3,1,0,Young,0,Blonde,0,0,0,2,1,0,0
0,18,6,64,3,1,0,Young,1,Blonde,0,0,0,2,1,0,0
1,18,6,64,7,2,0,Young,1,Blonde,0,1,0,2,1,0,0
1,18,6,64,7,2,0,Young,1,Blonde,0,0,0,2,1,0,0
0,18,6,64,1,3,1,Old,1,Blonde,0,1,0,2,1,0,0
1,18,6,64,2,7,1,Young,1,Blonde,0,1,0,2,1,0,0
0,18,6,64,1,3,1,Middle,0,Black,0,0,0,2,1,0,0
0,19,6,63,6,1,1,Middle,1,Black,1,0,0,2,1,0,0
1,19,6,63,4,1,1,Young,1,Black,0,0,0,2,1,0,0
0,19,6,63,4,8,0,Young,1,Blonde,1,0,0,2,1,0,0
0,19,6,63,4,8,0,Young,0,Blonde,1,0,0,2,1,0,0
1,19,6,63,5,7,1,Young,1,Blonde,1,0,0,2,1,0,0
0,19,6,63,3,4,1,Young,1,Blonde,0,0,0,2,1,0,0
0,19,6,63,4,2,1,Young,0,Blonde,0,0,0,2,1,1,0
1,20,6,62,4,7,0,Young,0,Black,1,0,0,1,1,0,0
1,20,6,62,4,7,0,Young,0,Black,0,0,0,1,1,0,0
1,20,6,62,5,2,1,Young,0,Black,1,0,0,1,1,0,0
0,20,6,62,3,4,0,Young,0,Blonde,0,0,0,1,1,0,0
0,20,6,62,3,4,0,Young,0,Blonde,0,0,0,1,1,0,0
0,20,6,62,3,4,0,Young,1,Blonde,0,1,0,1,1,0,0
1,20,6,62,2,3,1,Young,0,Black,0,0,0,1,1,0,0
0,21,6,62,3,1,0,Young,1,Black,0,0,0,1,1,0,0
0,21,6,62,3,1,0,Young,0,Black,0,1,0,1,1,0,0
0,21,6,62,1,7,1,Young,1,Black,0,0,0,1,1,0,0
0,21,6,62,6,4,1,Young,0,Blonde,0,0,0,1,1,0,0
0,21,6,62,1,5,0,Young,1,Blonde,0,0,0,1,1,0,0
0,21,6,62,1,5,0,Young,1,Blonde,0,0,0,1,1,0,0
0,21,6,62,1,5,0,Young,1,Blonde,0,0,0,1,1,0,0
1,22,6,61,1,7,1,Young,0,Black,0,0,0,1,1,0,0
0,22,6,61,5,2,0,Young,1,Blonde,0,0,0,1,1,0,0
0,22,6,61,5,2,0,Young,1,Blonde,0,0,0,1,1,0,0
0,22,6,61,4,8,1,Young,0,Blonde,0,1,1,1,1,0,0
0,22,6,61,8,6,1,Young,1,Blonde,0,0,0,1,1,0,0
0,23,6,61,8,4,0,Young,1,Blonde,0,0,0,1,1,0,0
0,23,6,61,8,4,0,Young,1,Blonde,0,0,0,1,1,0,0
0,23,6,61,4,8,1,Young,0,Blonde,0,0,0,1,1,0,0
